subj,ctrb,gender,age,age_c,formex,female,question,item,response
38N,523,F,6.436,0.499,1,1,3,3,0
3N,503,M,6.903,0.965,1,0,3,3,1
41N,539,F,5.306,-0.632,1,1,3,3,0
42N,541,M,5.683,-0.254,1,0,3,3,0
45N,511,M,6.447,0.510,1,0,3,3,1
50N,537,M,6.725,0.787,1,0,3,3,0
51N,509,F,6.969,1.032,1,1,3,3,1
53N,517,M,5.219,-0.718,1,0,3,3,0
54N,519,F,5.747,-0.190,1,1,3,3,0
55N,545,F,6.483,0.546,1,1,3,3,0
57N,521,M,5.739,-0.199,1,0,3,3,1
5G,527,F,6.136,0.199,1,1,3,3,0
7G,529,F,5.181,-0.757,1,1,3,3,0
9G,533,M,6.972,1.035,1,0,3,3,1
60N,511,M,5.858,-0.079,1,0,3,3,0
64N,513,F,5.078,-0.860,1,1,3,3,1
66N,501,F,5.572,-0.365,1,1,3,3,0
67N,515,F,5.447,-0.490,1,1,3,3,1
69N,509,F,5.131,-0.807,1,1,3,3,0
17G,519,M,6.158,0.221,1,0,3,3,0
19G,521,F,5.053,-0.885,1,1,3,3,1
21G,523,F,6.603,0.665,1,1,3,3,1
32G,537,F,6.231,0.293,1,1,3,3,1
33G,517,F,6.711,0.774,1,1,3,3,0
35G,535,F,6.461,0.524,1,1,3,3,0
13G,534,M,5.536,-0.401,0,0,4,3,1
17N,506,F,6.564,0.626,0,1,4,3,1
20N,524,F,5.050,-0.888,0,1,4,3,1
24N,522,F,6.786,0.849,0,1,4,3,1
26N,546,M,5.703,-0.235,0,0,4,3,0
27N,536,M,5.567,-0.371,0,0,4,3,0.5
28N,544,F,5.997,0.060,0,1,4,3,1
29N,548,F,5.550,-0.388,0,1,4,3,1
2G,526,M,5.033,-0.904,0,0,4,3,0.5
2N,502,F,5.700,-0.238,0,1,4,3,1
31N,542,M,5.050,-0.888,0,0,4,3,0.5
33N,538,M,5.461,-0.476,0,0,4,3,1
39N,540,F,6.308,0.371,0,1,4,3,0.5
3G,528,F,6.844,0.907,0,1,4,3,1
40N,540,M,6.203,0.265,0,0,4,3,1
43N,504,F,6.761,0.824,0,1,4,3,1
44N,508,M,6.317,0.379,0,0,4,3,1
46N,512,M,6.553,0.615,0,0,4,3,1
4G,530,F,6.625,0.687,0,1,4,3,0.5
52N,520,F,6.383,0.446,0,1,4,3,0.5
6N,516,M,5.125,-0.813,0,0,4,3,1
7N,514,M,5.281,-0.657,0,0,4,3,0.5
8G,532,F,6.289,0.351,0,1,4,3,1
8N,518,F,5.261,-0.676,0,1,4,3,1
9N,510,F,6.431,0.493,0,1,4,3,1
61N,510,M,5.422,-0.515,0,0,4,3,1
62N,506,F,6.817,0.879,0,1,4,3,1
63N,512,M,6.828,0.890,0,0,4,3,1
68N,516,M,5.092,-0.846,0,0,4,3,1
71N,514,M,5.078,-0.860,0,0,4,3,1
72N,504,F,5.958,0.021,0,1,4,3,1
22G,524,M,5.611,-0.326,0,0,4,3,1
23G,534,F,5.725,-0.213,0,1,4,3,0.5
28G,520,M,5.394,-0.543,0,0,4,3,1
31G,518,M,5.292,-0.646,0,0,4,3,1
34G,522,F,5.542,-0.396,0,1,4,3,0.5
10N,515,M,6.989,1.051,1,0,4,3,1
11G,525,M,5.944,0.007,1,0,4,3,1
13N,513,M,5.142,-0.796,1,0,4,3,1
14G,531,M,5.133,-0.804,1,0,4,3,0
16N,507,M,6.558,0.621,1,0,4,3,1
19N,505,F,6.058,0.121,1,1,4,3,1
1N,501,F,5.625,-0.313,1,1,4,3,1
21N,507,F,6.467,0.529,1,1,4,3,0.5
25N,535,F,6.569,0.632,1,1,4,3,0.5
34N,547,F,6.081,0.143,1,1,4,3,1
36N,543,F,5.553,-0.385,1,1,4,3,1
38N,523,F,6.436,0.499,1,1,4,3,1
3N,503,M,6.903,0.965,1,0,4,3,1
41N,539,F,5.306,-0.632,1,1,4,3,1
42N,541,M,5.683,-0.254,1,0,4,3,0.5
45N,511,M,6.447,0.510,1,0,4,3,1
50N,537,M,6.725,0.787,1,0,4,3,1
51N,509,F,6.969,1.032,1,1,4,3,1
53N,517,M,5.219,-0.718,1,0,4,3,1
54N,519,F,5.747,-0.190,1,1,4,3,0.5
55N,545,F,6.483,0.546,1,1,4,3,1
57N,521,M,5.739,-0.199,1,0,4,3,0
5G,527,F,6.136,0.199,1,1,4,3,1
7G,529,F,5.181,-0.757,1,1,4,3,0.5
9G,533,M,6.972,1.035,1,0,4,3,0.5
60N,511,M,5.858,-0.079,1,0,4,3,1
64N,513,F,5.078,-0.860,1,1,4,3,1
66N,501,F,5.572,-0.365,1,1,4,3,0
67N,515,F,5.447,-0.490,1,1,4,3,1
69N,509,F,5.131,-0.807,1,1,4,3,1
17G,519,M,6.158,0.221,1,0,4,3,1
19G,521,F,5.053,-0.885,1,1,4,3,1
21G,523,F,6.603,0.665,1,1,4,3,1
32G,537,F,6.231,0.293,1,1,4,3,1
33G,517,F,6.711,0.774,1,1,4,3,0
35G,535,F,6.461,0.524,1,1,4,3,1
13G,534,M,5.536,-0.401,0,0,1,4,1
17N,506,F,6.564,0.626,0,1,1,4,0
20N,524,F,5.050,-0.888,0,1,1,4,1
24N,522,F,6.786,0.849,0,1,1,4,1
26N,546,M,5.703,-0.235,0,0,1,4,0
27N,536,M,5.567,-0.371,0,0,1,4,0
28N,544,F,5.997,0.060,0,1,1,4,1
29N,548,F,5.550,-0.388,0,1,1,4,
2G,526,M,5.033,-0.904,0,0,1,4,0
2N,502,F,5.700,-0.238,0,1,1,4,1
31N,542,M,5.050,-0.888,0,0,1,4,0
33N,538,M,5.461,-0.476,0,0,1,4,0
39N,540,F,6.308,0.371,0,1,1,4,0
3G,528,F,6.844,0.907,0,1,1,4,0
40N,540,M,6.203,0.265,0,0,1,4,1
43N,504,F,6.761,0.824,0,1,1,4,0
44N,508,M,6.317,0.379,0,0,1,4,1
46N,512,M,6.553,0.615,0,0,1,4,0
4G,530,F,6.625,0.687,0,1,1,4,0
52N,520,F,6.383,0.446,0,1,1,4,0
6N,516,M,5.125,-0.813,0,0,1,4,0
7N,514,M,5.281,-0.657,0,0,1,4,0
8G,532,F,6.289,0.351,0,1,1,4,1
8N,518,F,5.261,-0.676,0,1,1,4,1
9N,510,F,6.431,0.493,0,1,1,4,1
61N,510,M,5.422,-0.515,0,0,1,4,1
62N,506,F,6.817,0.879,0,1,1,4,0
63N,512,M,6.828,0.890,0,0,1,4,0
68N,516,M,5.092,-0.846,0,0,1,4,0
71N,514,M,5.078,-0.860,0,0,1,4,1
72N,504,F,5.958,0.021,0,1,1,4,0
22G,524,M,5.611,-0.326,0,0,1,4,1
23G,534,F,5.725,-0.213,0,1,1,4,1
28G,520,M,5.394,-0.543,0,0,1,4,1
31G,518,M,5.292,-0.646,0,0,1,4,0
34G,522,F,5.542,-0.396,0,1,1,4,1
10N,515,M,6.989,1.051,1,0,1,4,1
11G,525,M,5.944,0.007,1,0,1,4,1
13N,513,M,5.142,-0.796,1,0,1,4,0
14G,531,M,5.133,-0.804,1,0,1,4,1
16N,507,M,6.558,0.621,1,0,1,4,0
19N,505,F,6.058,0.121,1,1,1,4,0
1N,501,F,5.625,-0.313,1,1,1,4,0
21N,507,F,6.467,0.529,1,1,1,4,1
25N,535,F,6.569,0.632,1,1,1,4,1
34N,547,F,6.081,0.143,1,1,1,4,1
36N,543,F,5.553,-0.385,1,1,1,4,1
38N,523,F,6.436,0.499,1,1,1,4,
3N,503,M,6.903,0.965,1,0,1,4,1
41N,539,F,5.306,-0.632,1,1,1,4,1
42N,541,M,5.683,-0.254,1,0,1,4,1
45N,511,M,6.447,0.510,1,0,1,4,1
50N,537,M,6.725,0.787,1,0,1,4,1
51N,509,F,6.969,1.032,1,1,1,4,1
53N,517,M,5.219,-0.718,1,0,1,4,0
54N,519,F,5.747,-0.190,1,1,1,4,0
55N,545,F,6.483,0.546,1,1,1,4,
57N,521,M,5.739,-0.199,1,0,1,4,0
5G,527,F,6.136,0.199,1,1,1,4,0
7G,529,F,5.181,-0.757,1,1,1,4,1
9G,533,M,6.972,1.035,1,0,1,4,1
60N,511,M,5.858,-0.079,1,0,1,4,1
64N,513,F,5.078,-0.860,1,1,1,4,1
66N,501,F,5.572,-0.365,1,1,1,4,1
67N,515,F,5.447,-0.490,1,1,1,4,1
69N,509,F,5.131,-0.807,1,1,1,4,1
17G,519,M,6.158,0.221,1,0,1,4,0
19G,521,F,5.053,-0.885,1,1,1,4,0
21G,523,F,6.603,0.665,1,1,1,4,1
32G,537,F,6.231,0.293,1,1,1,4,0
33G,517,F,6.711,0.774,1,1,1,4,0
35G,535,F,6.461,0.524,1,1,1,4,0
13G,534,M,5.536,-0.401,0,0,2,4,1
17N,506,F,6.564,0.626,0,1,2,4,1
20N,524,F,5.050,-0.888,0,1,2,4,1
24N,522,F,6.786,0.849,0,1,2,4,1
26N,546,M,5.703,-0.235,0,0,2,4,0
27N,536,M,5.567,-0.371,0,0,2,4,1
28N,544,F,5.997,0.060,0,1,2,4,1
29N,548,F,5.550,-0.388,0,1,2,4,
2G,526,M,5.033,-0.904,0,0,2,4,0
2N,502,F,5.700,-0.238,0,1,2,4,1
31N,542,M,5.050,-0.888,0,0,2,4,0
33N,538,M,5.461,-0.476,0,0,2,4,1
39N,540,F,6.308,0.371,0,1,2,4,1
3G,528,F,6.844,0.907,0,1,2,4,1
40N,540,M,6.203,0.265,0,0,2,4,1
43N,504,F,6.761,0.824,0,1,2,4,1
44N,508,M,6.317,0.379,0,0,2,4,1
46N,512,M,6.553,0.615,0,0,2,4,1
4G,530,F,6.625,0.687,0,1,2,4,0
52N,520,F,6.383,0.446,0,1,2,4,1
6N,516,M,5.125,-0.813,0,0,2,4,1
7N,514,M,5.281,-0.657,0,0,2,4,0
8G,532,F,6.289,0.351,0,1,2,4,1
8N,518,F,5.261,-0.676,0,1,2,4,0
9N,510,F,6.431,0.493,0,1,2,4,1
61N,510,M,5.422,-0.515,0,0,2,4,1
62N,506,F,6.817,0.879,0,1,2,4,0
63N,512,M,6.828,0.890,0,0,2,4,1
68N,516,M,5.092,-0.846,0,0,2,4,1
71N,514,M,5.078,-0.860,0,0,2,4,1
72N,504,F,5.958,0.021,0,1,2,4,0
22G,524,M,5.611,-0.326,0,0,2,4,1
23G,534,F,5.725,-0.213,0,1,2,4,1
28G,520,M,5.394,-0.543,0,0,2,4,1
31G,518,M,5.292,-0.646,0,0,2,4,0
34G,522,F,5.542,-0.396,0,1,2,4,1
10N,515,M,6.989,1.051,1,0,2,4,1
11G,525,M,5.944,0.007,1,0,2,4,1
13N,513,M,5.142,-0.796,1,0,2,4,1
14G,531,M,5.133,-0.804,1,0,2,4,1
16N,507,M,6.558,0.621,1,0,2,4,1
19N,505,F,6.058,0.121,1,1,2,4,1
1N,501,F,5.625,-0.313,1,1,2,4,1
21N,507,F,6.467,0.529,1,1,2,4,1
25N,535,F,6.569,0.632,1,1,2,4,0
34N,547,F,6.081,0.143,1,1,2,4,1
36N,543,F,5.553,-0.385,1,1,2,4,1
38N,523,F,6.436,0.499,1,1,2,4,
3N,503,M,6.903,0.965,1,0,2,4,1
41N,539,F,5.306,-0.632,1,1,2,4,1
42N,541,M,5.683,-0.254,1,0,2,4,1
45N,511,M,6.447,0.510,1,0,2,4,1
50N,537,M,6.725,0.787,1,0,2,4,0
51N,509,F,6.969,1.032,1,1,2,4,1
53N,517,M,5.219,-0.718,1,0,2,4,1
54N,519,F,5.747,-0.190,1,1,2,4,1
55N,545,F,6.483,0.546,1,1,2,4,
57N,521,M,5.739,-0.199,1,0,2,4,1
5G,527,F,6.136,0.199,1,1,2,4,1
7G,529,F,5.181,-0.757,1,1,2,4,1
9G,533,M,6.972,1.035,1,0,2,4,1
60N,511,M,5.858,-0.079,1,0,2,4,1
64N,513,F,5.078,-0.860,1,1,2,4,1
66N,501,F,5.572,-0.365,1,1,2,4,1
67N,515,F,5.447,-0.490,1,1,2,4,0
69N,509,F,5.131,-0.807,1,1,2,4,1
17G,519,M,6.158,0.221,1,0,2,4,0
19G,521,F,5.053,-0.885,1,1,2,4,1
21G,523,F,6.603,0.665,1,1,2,4,1
32G,537,F,6.231,0.293,1,1,2,4,1
33G,517,F,6.711,0.774,1,1,2,4,1
35G,535,F,6.461,0.524,1,1,2,4,1
13G,534,M,5.536,-0.401,0,0,3,4,0
17N,506,F,6.564,0.626,0,1,3,4,1
20N,524,F,5.050,-0.888,0,1,3,4,1
24N,522,F,6.786,0.849,0,1,3,4,1
26N,546,M,5.703,-0.235,0,0,3,4,0
27N,536,M,5.567,-0.371,0,0,3,4,0
28N,544,F,5.997,0.060,0,1,3,4,0
29N,548,F,5.550,-0.388,0,1,3,4,1
2G,526,M,5.033,-0.904,0,0,3,4,1
2N,502,F,5.700,-0.238,0,1,3,4,1
31N,542,M,5.050,-0.888,0,0,3,4,0
33N,538,M,5.461,-0.476,0,0,3,4,1
39N,540,F,6.308,0.371,0,1,3,4,1
3G,528,F,6.844,0.907,0,1,3,4,1
40N,540,M,6.203,0.265,0,0,3,4,0
43N,504,F,6.761,0.824,0,1,3,4,0
44N,508,M,6.317,0.379,0,0,3,4,0
46N,512,M,6.553,0.615,0,0,3,4,0
4G,530,F,6.625,0.687,0,1,3,4,0
52N,520,F,6.383,0.446,0,1,3,4,0
6N,516,M,5.125,-0.813,0,0,3,4,0
7N,514,M,5.281,-0.657,0,0,3,4,1
8G,532,F,6.289,0.351,0,1,3,4,1
8N,518,F,5.261,-0.676,0,1,3,4,0
9N,510,F,6.431,0.493,0,1,3,4,0
61N,510,M,5.422,-0.515,0,0,3,4,0
62N,506,F,6.817,0.879,0,1,3,4,0
63N,512,M,6.828,0.890,0,0,3,4,1
68N,516,M,5.092,-0.846,0,0,3,4,0
71N,514,M,5.078,-0.860,0,0,3,4,1
72N,504,F,5.958,0.021,0,1,3,4,0
22G,524,M,5.611,-0.326,0,0,3,4,1
23G,534,F,5.725,-0.213,0,1,3,4,0
28G,520,M,5.394,-0.543,0,0,3,4,0
31G,518,M,5.292,-0.646,0,0,3,4,0
34G,522,F,5.542,-0.396,0,1,3,4,0
10N,515,M,6.989,1.051,1,0,3,4,1
11G,525,M,5.944,0.007,1,0,3,4,1
13N,513,M,5.142,-0.796,1,0,3,4,0
14G,531,M,5.133,-0.804,1,0,3,4,0
16N,507,M,6.558,0.621,1,0,3,4,0
19N,505,F,6.058,0.121,1,1,3,4,0
1N,501,F,5.625,-0.313,1,1,3,4,0
21N,507,F,6.467,0.529,1,1,3,4,0
25N,535,F,6.569,0.632,1,1,3,4,0
34N,547,F,6.081,0.143,1,1,3,4,0
36N,543,F,5.553,-0.385,1,1,3,4,0
38N,523,F,6.436,0.499,1,1,3,4,0
3N,503,M,6.903,0.965,1,0,3,4,1
41N,539,F,5.306,-0.632,1,1,3,4,0
42N,541,M,5.683,-0.254,1,0,3,4,0
45N,511,M,6.447,0.510,1,0,3,4,1
50N,537,M,6.725,0.787,1,0,3,4,1
51N,509,F,6.969,1.032,1,1,3,4,1
53N,517,M,5.219,-0.718,1,0,3,4,0
54N,519,F,5.747,-0.190,1,1,3,4,0
55N,545,F,6.483,0.546,1,1,3,4,0
57N,521,M,5.739,-0.199,1,0,3,4,1
5G,527,F,6.136,0.199,1,1,3,4,0
7G,529,F,5.181,-0.757,1,1,3,4,0
9G,533,M,6.972,1.035,1,0,3,4,0
60N,511,M,5.858,-0.079,1,0,3,4,0
64N,513,F,5.078,-0.860,1,1,3,4,0
66N,501,F,5.572,-0.365,1,1,3,4,1
67N,515,F,5.447,-0.490,1,1,3,4,1
69N,509,F,5.131,-0.807,1,1,3,4,0
17G,519,M,6.158,0.221,1,0,3,4,0
19G,521,F,5.053,-0.885,1,1,3,4,1
21G,523,F,6.603,0.665,1,1,3,4,0
32G,537,F,6.231,0.293,1,1,3,4,1
33G,517,F,6.711,0.774,1,1,3,4,1
35G,535,F,6.461,0.524,1,1,3,4,0
13G,534,M,5.536,-0.401,0,0,4,4,1
17N,506,F,6.564,0.626,0,1,4,4,1
20N,524,F,5.050,-0.888,0,1,4,4,1
24N,522,F,6.786,0.849,0,1,4,4,1
26N,546,M,5.703,-0.235,0,0,4,4,0.5
27N,536,M,5.567,-0.371,0,0,4,4,1
28N,544,F,5.997,0.060,0,1,4,4,1
29N,548,F,5.550,-0.388,0,1,4,4,1
2G,526,M,5.033,-0.904,0,0,4,4,1
2N,502,F,5.700,-0.238,0,1,4,4,1
31N,542,M,5.050,-0.888,0,0,4,4,1
33N,538,M,5.461,-0.476,0,0,4,4,1
39N,540,F,6.308,0.371,0,1,4,4,1
3G,528,F,6.844,0.907,0,1,4,4,1
40N,540,M,6.203,0.265,0,0,4,4,1
43N,504,F,6.761,0.824,0,1,4,4,1
44N,508,M,6.317,0.379,0,0,4,4,0.5
46N,512,M,6.553,0.615,0,0,4,4,1
4G,530,F,6.625,0.687,0,1,4,4,1
52N,520,F,6.383,0.446,0,1,4,4,1
6N,516,M,5.125,-0.813,0,0,4,4,1
7N,514,M,5.281,-0.657,0,0,4,4,0.5
8G,532,F,6.289,0.351,0,1,4,4,1
8N,518,F,5.261,-0.676,0,1,4,4,0.5
9N,510,F,6.431,0.493,0,1,4,4,0
61N,510,M,5.422,-0.515,0,0,4,4,0.5
62N,506,F,6.817,0.879,0,1,4,4,1
63N,512,M,6.828,0.890,0,0,4,4,1
68N,516,M,5.092,-0.846,0,0,4,4,0
71N,514,M,5.078,-0.860,0,0,4,4,1
72N,504,F,5.958,0.021,0,1,4,4,1
22G,524,M,5.611,-0.326,0,0,4,4,1
23G,534,F,5.725,-0.213,0,1,4,4,0.5
28G,520,M,5.394,-0.543,0,0,4,4,1
31G,518,M,5.292,-0.646,0,0,4,4,1
34G,522,F,5.542,-0.396,0,1,4,4,1
10N,515,M,6.989,1.051,1,0,4,4,1
11G,525,M,5.944,0.007,1,0,4,4,1
13N,513,M,5.142,-0.796,1,0,4,4,1
14G,531,M,5.133,-0.804,1,0,4,4,1
16N,507,M,6.558,0.621,1,0,4,4,1
19N,505,F,6.058,0.121,1,1,4,4,0.5
1N,501,F,5.625,-0.313,1,1,4,4,1
21N,507,F,6.467,0.529,1,1,4,4,0
25N,535,F,6.569,0.632,1,1,4,4,1
34N,547,F,6.081,0.143,1,1,4,4,0.5
36N,543,F,5.553,-0.385,1,1,4,4,1
38N,523,F,6.436,0.499,1,1,4,4,1
3N,503,M,6.903,0.965,1,0,4,4,1
41N,539,F,5.306,-0.632,1,1,4,4,1
42N,541,M,5.683,-0.254,1,0,4,4,1
45N,511,M,6.447,0.510,1,0,4,4,1
50N,537,M,6.725,0.787,1,0,4,4,1
51N,509,F,6.969,1.032,1,1,4,4,1
53N,517,M,5.219,-0.718,1,0,4,4,1
54N,519,F,5.747,-0.190,1,1,4,4,0.5
55N,545,F,6.483,0.546,1,1,4,4,1
57N,521,M,5.739,-0.199,1,0,4,4,1
5G,527,F,6.136,0.199,1,1,4,4,1
7G,529,F,5.181,-0.757,1,1,4,4,1
9G,533,M,6.972,1.035,1,0,4,4,1
60N,511,M,5.858,-0.079,1,0,4,4,1
64N,513,F,5.078,-0.860,1,1,4,4,1
66N,501,F,5.572,-0.365,1,1,4,4,1
67N,515,F,5.447,-0.490,1,1,4,4,1
69N,509,F,5.131,-0.807,1,1,4,4,1
17G,519,M,6.158,0.221,1,0,4,4,0.5
19G,521,F,5.053,-0.885,1,1,4,4,1
21G,523,F,6.603,0.665,1,1,4,4,1
32G,537,F,6.231,0.293,1,1,4,4,1
33G,517,F,6.711,0.774,1,1,4,4,1
35G,535,F,6.461,0.524,1,1,4,4,1